二级市,三级区县,四级镇街,lat,lng,详细地址
广州市,番禺区,新造镇,23.034689,113.422217,番禺区新造镇
广州市,花都区,新雅街,23.369104,113.223938,花都区新雅街
惠州市,惠阳区,新圩镇,22.873221,114.341748,惠阳区新圩镇
肇庆市,德庆县,新圩镇,23.164935,111.781436,德庆县新圩镇
广州市,增城区,新塘镇,23.125684,113.6272,增城区新塘镇
广州市,天河区,新塘街道,23.158138,113.414768,天河区新塘街道
广州市,白云区,新市街道,23.205287,113.263014,白云区新市街道
肇庆市,高要区,新桥镇,22.951989,112.423975,高要区新桥镇
深圳市　,宝安区,新桥街道,22.748902,113.836275,宝安区新桥街道
广州市,花都区,新华街道,23.376037,113.219906,花都区新华街道
深圳市　,光明新区,新湖街道,22.795862,113.953661,光明新区新湖街道
广州市,海珠区,新港街道,23.106287,113.301742,海珠区新港街道
深圳市　,宝安区,新安街道,22.574599,113.902411,宝安区新安街道
东莞市,,谢岗镇,22.967218,114.155141,谢岗镇
肇庆市,高要区,小湘镇,23.130952,112.415813,高要区小湘镇
广州市,增城区,小楼镇,23.384305,113.838958,增城区小楼镇
中山市,,小榄镇,22.677377,113.257806,小榄镇
惠州市,惠城区,小金口街道,23.175951,114.426349,惠城区小金口街道
广州市,番禺区,小谷围街道,23.043579,113.382017,番禺区小谷围街道
珠海市,香洲区,香湾街道,22.296132,113.580653,香洲区香湾街道
深圳市　,福田区,香蜜湖街道,22.542643,114.023948,福田区香蜜湖街道
肇庆市,高要区,蚬岗镇,23.050617,112.684526,高要区蚬岗镇
江门市,开平市,蚬冈镇,22.271219,112.542813,开平市蚬冈镇
广州市,天河区,冼村街道,23.129164,113.325289,天河区冼村街道
广州市,增城区,仙村镇,23.185647,113.724168,增城区仙村镇
广州市,黄埔区,夏港街,23.070354,113.535454,黄埔区夏港街
肇庆市,怀集县,下帅壮族瑶族乡,24.213983,112.103708,怀集县下帅壮族瑶族乡
肇庆市,四会市,下茆镇,23.436566,112.669334,四会市下茆镇
惠州市,惠阳区,霞涌街道,22.774956,114.661858,惠阳区霞涌街道
深圳市　,宝安区,西乡街道,22.586689,113.890041,宝安区西乡街道
惠州市,惠阳区,西区街道,22.761928,114.49807,惠阳区西区街道
中山市,,西区街道,22.525215,113.364148,西区街道
佛山市,南海区,西樵镇,22.944525,112.985865,南海区西樵镇
佛山市,三水区,西南街道,23.171006,112.843409,三水区西南街道
深圳市　,南山区,西丽街道,22.585642,113.959204,南山区西丽街道
香港,,西贡区,22.361417,114.39002,西贡区
广州市,荔湾区,西村街道,23.150429,113.246629,荔湾区西村街道
肇庆市,德庆县,武垄镇,23.323956,112.201713,德庆县武垄镇
广州市,天河区,五山街道,23.158109,113.360075,天河区五山街道
肇庆市,广宁县,五和镇,23.467946,112.362209,广宁县五和镇
中山市,,五桂山街道,22.451518,113.409068,五桂山街道
肇庆市,怀集县,汶朗镇,23.995092,112.298674,怀集县汶朗镇
江门市,台山市,汶村镇,21.863511,112.497875,台山市汶村镇
广州市,黄埔区,文冲街道,23.107865,113.47551,黄埔区文冲街道
广州市,从化区,温泉镇,23.622855,113.63878,从化区温泉镇
肇庆市,四会市,威整镇,23.650917,112.743431,四会市威整镇
东莞市,,望牛墩镇,23.061574,113.662645,望牛墩镇
澳门,,望德堂区,22.204878,113.562175,望德堂区
珠海市,香洲区,万山镇,21.938224,113.733511,香洲区万山镇
广州市,南沙区,万顷沙镇,22.711743,113.559081,南沙区万顷沙镇
东莞市,,万江街道,23.052907,113.744808,万江街道
香港,,湾仔区,22.263535,114.013096,湾仔区
珠海市,香洲区,湾仔街道,22.201215,113.538566,香洲区湾仔街道
江门市,江海区,外海街道,22.599873,113.154063,江海区外海街道
香港,,屯门区,22.398034,113.982209,屯门区
惠州市,惠城区,潼侨镇,23.040631,114.307004,惠城区潼侨镇
惠州市,惠城区,潼湖镇,23.088062,114.203361,惠城区潼湖镇
广州市,白云区,同和街道,23.202701,113.332534,白云区同和街道
广州市,白云区,同德街道,23.173606,113.23921,白云区同德街道
惠州市,惠东县,铁涌镇,22.729993,114.841677,惠东县铁涌镇
广州市,天河区,天园街道,23.129677,113.375385,天河区天园街道
广州市,天河区,天河南街道,23.136056,113.334073,天河区天河南街道
广州市,花都区,梯面镇,23.551111,113.300368,花都区梯面镇
江门市,鹤山市,桃源镇,22.736748,112.938686,鹤山市桃源镇
深圳市　,南山区,桃源街道,22.595042,113.971344,南山区桃源街道
东莞市,,塘厦镇,22.813052,114.075528,塘厦镇
江门市,开平市,塘口镇,22.375835,112.625391,开平市塘口镇
江门市,蓬江区,棠下镇,22.68689,113.037059,蓬江区棠下镇
广州市,天河区,棠下街道,23.139261,113.393396,天河区棠下街道
广州市,白云区,棠景街道,23.173472,113.263383,白云区棠景街道
珠海市,香洲区,唐家湾镇,22.386984,113.5465,香洲区唐家湾镇
广州市,花都区,炭步镇,23.347565,113.112568,花都区炭步镇
中山市,,坦洲镇,22.260588,113.474307,坦洲镇
肇庆市,广宁县,潭布镇,23.62926,112.580431,广宁县潭布镇
惠州市,博罗县,泰美镇,23.306166,114.477768,博罗县泰美镇
广州市,从化区,太平镇,23.437395,113.487988,从化区太平镇
广州市,白云区,太和镇,23.298035,113.362354,白云区太和镇
江门市,台山市,台城街道,22.256652,112.801328,台山市台城街道
深圳市　,罗湖区,笋岗街道,22.573743,114.118663,罗湖区笋岗街道
广州市,黄埔区,穗东街道,23.088903,113.525316,黄埔区穗东街道
广州市,海珠区,素社街道,23.109581,113.28198,海珠区素社街道
广州市,白云区,松洲街道,23.162484,113.229595,白云区松洲街道
深圳市　,宝安区,松岗街道,22.770402,113.855116,宝安区松岗街道
江门市,台山市,四九镇,22.222438,112.864922,台山市四九镇
江门市,新会区,司前镇,22.497664,112.865004,新会区司前镇
肇庆市,高要区,水南镇,23.30272,112.38711,高要区水南镇
江门市,开平市,水口镇,22.14931,112.441687,开平市水口镇
惠州市,惠城区,水口街道,23.110997,114.47107,惠城区水口街道
江门市,台山市,水步镇,22.33345,112.80612,台山市水步镇
江门市,新会区,双水镇,22.43938,113.010229,新会区双水镇
江门市,鹤山市,双合镇,22.662712,112.535044,鹤山市双合镇
广州市,番禺区,市桥街道,22.95387,113.373264,番禺区市桥街道
深圳市　,宝安区,石岩街道,22.687071,113.945899,宝安区石岩街道
广州市,荔湾区,石围塘街道,23.117618,113.21915,荔湾区石围塘街道
佛山市,禅城区,石湾镇街道,22.997514,113.130596,禅城区石湾镇街道
惠州市,博罗县,石湾镇,23.152463,113.900135,博罗县石湾镇
广州市,增城区,石滩镇,23.173559,113.801016,增城区石滩镇
中山市,,石岐区街道,22.526696,113.378715,石岐区街道
广州市,天河区,石牌街道,23.145187,113.346243,天河区石牌街道
东莞市,,石排镇,23.094761,113.946613,石排镇
广州市,白云区,石门街,23.213254,113.21073,白云区石门街
广州市,番禺区,石楼镇,22.975066,113.494291,番禺区石楼镇
东莞市,,石龙镇,23.111615,113.880728,石龙镇
肇庆市,广宁县,石咀镇,23.625061,112.174924,广宁县石咀镇
广州市,白云区,石井街道,23.212059,113.232251,白云区石井街道
深圳市　,坪山新区,石井街道,22.691367,114.388782,坪山新区石井街道
东莞市,,石碣镇,23.10501,113.819816,石碣镇
广州市,番禺区,石基镇,22.958839,113.443825,番禺区石基镇
肇庆市,四会市,石狗镇,23.378419,112.592994,四会市石狗镇
广州市,番禺区,石壁镇,23.008194,113.279976,番禺区石壁镇
惠州市,博罗县,石坝镇,23.536391,114.584403,博罗县石坝镇
佛山市,南海区,狮山镇,23.120818,113.025635,南海区狮山镇
珠海市,香洲区,狮山街道,22.275175,113.577244,香洲区狮山街道
广州市,花都区,狮岭镇,23.466419,113.15782,花都区狮岭镇
肇庆市,怀集县,诗洞镇,23.623359,112.081936,怀集县诗洞镇
江门市,恩平市,圣堂镇,22.292046,112.39383,恩平市圣堂镇
澳门,,圣方济各堂区,22.12307,113.5652,圣方济各堂区
澳门,,圣安多尼堂区（花王堂区）,22.20202,113.550923,圣安多尼堂区（花王堂区）
中山市,,神湾镇,22.308298,113.370276,神湾镇
香港,,深水埗区,22.338795,114.158097,深水埗区
江门市,台山市,深井镇,21.983359,112.512068,台山市深井镇
深圳市　,南山区,蛇口街道,22.493771,113.933907,南山区蛇口街道
广州市,海珠区,沙园街道,23.091457,113.272602,海珠区沙园街道
中山市,,沙溪镇,22.514051,113.328078,沙溪镇
广州市,番禺区,沙湾镇,22.913987,113.352979,番禺区沙湾镇
广州市,番禺区,沙头街道,22.939396,113.331103,番禺区沙头街道
深圳市　,福田区,沙头街道,22.535046,114.049224,福田区沙头街道
深圳市　,盐田区,沙头角街道,22.556331,114.238105,盐田区沙头角街道
东莞市,,沙田镇,22.925273,113.624082,沙田镇
惠州市,惠阳区,沙田镇,22.866532,114.555351,惠阳区沙田镇
香港,,沙田区,22.389844,114.203829,沙田区
江门市,开平市,沙塘镇,22.456388,112.596367,开平市沙塘镇
肇庆市,鼎湖区,沙浦镇,23.167059,112.687791,鼎湖区沙浦镇
江门市,鹤山市,沙坪镇,22.787218,112.987042,鹤山市沙坪镇
广州市,荔湾区,沙面街道,23.113208,113.254728,荔湾区沙面街道
深圳市　,宝安区,沙井街道,22.739134,113.818248,宝安区沙井街道
江门市,恩平市,沙湖镇,22.391437,112.45269,恩平市沙湖镇
广州市,天河区,沙河街道,23.15563,113.317464,天河区沙河街道
深圳市　,南山区,沙河街道,22.542752,113.985801,南山区沙河街道
江门市,新会区,沙堆镇,22.310071,113.155932,新会区沙堆镇
广州市,天河区,沙东街道,23.168468,113.323474,天河区沙东街道
珠海市,金湾区,三灶镇,22.05331,113.358287,金湾区三灶镇
广州市,白云区,三元里街道,23.165361,113.26438,白云区三元里街道
中山市,,三乡镇,22.363792,113.447976,三乡镇
中山市,,三角镇,22.682489,113.424476,三角镇
江门市,新会区,三江镇,22.43579,113.116264,新会区三江镇
惠州市,惠阳区,三和街道,22.900634,114.504933,惠阳区三和街道
江门市,台山市,三合镇,22.188328,112.757697,台山市三合镇
惠州市,惠城区,三栋镇,22.997224,114.455184,惠城区三栋镇
江门市,开平市,三埠街道,22.358616,112.696837,开平市三埠街道
广州市,海珠区,瑞宝街道,23.073008,113.303213,海珠区瑞宝街道
惠州市,惠城区,汝湖镇,23.183424,114.465194,惠城区汝湖镇
佛山市,顺德区,容桂街道,22.768502,113.264858,顺德区容桂街道
惠州市,惠东县,稔山镇,22.845516,114.814397,惠东县稔山镇
广州市,越秀区,人民街道,23.120915,113.268266,越秀区人民街道
广州市,白云区,人和镇,23.341685,113.302638,白云区人和镇
香港,,荃湾区,22.374651,114.127523,荃湾区
惠州市,惠阳区,秋长街道,22.81559,114.444591,惠阳区秋长街道
东莞市,,清溪镇,22.85031,114.17089,清溪镇
深圳市　,罗湖区,清水河街道,22.57225,114.104765,罗湖区清水河街道
广州市,荔湾区,桥中街道,23.126159,113.23163,荔湾区桥中街道
惠州市,惠城区,桥西街道,23.079809,114.417646,惠城区桥西街道
东莞市,,桥头镇,23.030029,114.109497,桥头镇
肇庆市,怀集县,桥头镇,23.756711,111.976619,怀集县桥头镇
广州市,番禺区,桥南街道,22.933604,113.377753,番禺区桥南街道
惠州市,惠城区,桥东街道,23.090865,114.426569,惠城区桥东街道
珠海市,斗门区,乾务镇,22.164,113.239037,斗门区乾务镇
珠海市,香洲区,前山街道,22.256606,113.530305,香洲区前山街道
广州市,天河区,前进街道,23.119054,113.418754,天河区前进街道
肇庆市,怀集县,洽水镇,24.092531,112.352829,怀集县洽水镇
东莞市,,企石镇,23.079041,114.028531,企石镇
深圳市　,坪山新区,坪山街道,22.696774,114.35256,坪山新区坪山街道
深圳市　,龙岗区,坪地街道,22.780394,114.315964,龙岗区坪地街道
惠州市,惠阳区,平潭镇,23.047747,114.580755,惠阳区平潭镇
惠州市,惠东县,平山街道,22.983239,114.729965,惠东县平山街道
珠海市,金湾区,平沙镇,22.111175,113.194735,金湾区平沙镇
惠州市,龙门县,平陵镇,23.667019,114.355097,龙门县平陵镇
深圳市　,龙岗区,平湖街道,22.699372,114.134881,龙岗区平湖街道
惠州市,惠东县,平海镇,22.623351,114.878946,惠东县平海镇
肇庆市,封开县,平凤镇,23.310148,111.491296,封开县平凤镇
广州市,增城区,派潭镇,23.496087,113.790831,增城区派潭镇
肇庆市,广宁县,排沙镇,23.549915,112.533859,广宁县排沙镇
广州市,海珠区,琶洲街道,23.103949,113.346914,海珠区琶洲街道
广州市,越秀区,农林街道,23.132755,113.300475,越秀区农林街道
江门市,恩平市,牛江镇,22.380109,112.399504,恩平市牛江镇
佛山市,禅城区,南庄镇,22.987965,113.017164,禅城区南庄镇
广州市,海珠区,南洲街道,23.076462,113.314607,海珠区南洲街道
广州市,荔湾区,南源街道,23.143349,113.241022,荔湾区南源街道
深圳市　,福田区,南园街道,22.544441,114.101176,福田区南园街道
深圳市　,龙岗区,南湾街道,22.609872,114.151211,龙岗区南湾街道
中山市,,南头镇,22.723521,113.298283,南头镇
深圳市　,南山区,南头街道,22.542139,113.925048,南山区南头街道
珠海市,金湾区,南水镇,22.032507,113.247045,金湾区南水镇
广州市,海珠区,南石头街道,23.078864,113.27579,海珠区南石头街道
佛山市,三水区,南山镇,23.511169,112.865297,三水区南山镇
深圳市　,南山区,南山街道,22.53084,113.927518,南山区南山街道
广州市,南沙区,南沙街道,22.804924,113.573498,南沙区南沙街道
中山市,,南区街道,22.439542,113.420032,南区街道
香港,,南区,22.252628,114.18806,南区
珠海市,香洲区,南屏镇,22.227561,113.513013,香洲区南屏镇
中山市,,南朗镇,22.504951,113.537837,南朗镇
肇庆市,广宁县,南街镇,23.643166,112.448016,广宁县南街镇
广州市,海珠区,南华西街道,23.110328,113.258698,海珠区南华西街道
深圳市　,罗湖区,南湖街道,22.549749,114.132991,罗湖区南湖街道
广州市,黄埔区,南岗街道,23.10103,113.556772,黄埔区南岗街道
肇庆市,封开县,南丰镇,23.750709,111.806226,封开县南丰镇
广州市,番禺区,南村镇,23.014609,113.399377,番禺区南村镇
东莞市,,南城街道,23.00623,113.745342,南城街道
深圳市　,大鹏新区,南澳街道,22.607021,114.483086,大鹏新区南澳街道
肇庆市,高要区,南岸街道,23.036964,112.464345,高要区南岸街道
江门市,恩平市,那吉镇,22.129728,112.172365,恩平市那吉镇
江门市,新会区,睦州镇,22.463408,113.166055,新会区睦州镇
肇庆市,端州区,睦岗街道,23.072482,112.428309,端州区睦岗街道
肇庆市,广宁县,木格镇,23.528809,112.180098,广宁县木格镇
肇庆市,德庆县,莫村镇,23.409767,112.12591,德庆县莫村镇
佛山市,高明区,明城镇,22.861261,112.717147,高明区明城镇
中山市,,民众镇,22.627524,113.500096,民众镇
深圳市　,龙华新区,民治街道,22.626153,114.041176,龙华新区民治街道
深圳市　,盐田区,梅沙街道,22.604719,114.31978,盐田区梅沙街道
深圳市　,福田区,梅林街道,22.57079,114.057072,福田区梅林街道
珠海市,香洲区,梅华街道,22.278044,113.55387,香洲区梅华街道
广州市,越秀区,梅花村街道,23.135229,113.316316,越秀区梅花村街道
肇庆市,德庆县,马圩镇,23.234981,111.849939,德庆县马圩镇
深圳市　,光明新区,马田街道,22.773839,113.878363,光明新区马田街道
肇庆市,怀集县,马宁镇,24.03442,111.990611,怀集县马宁镇
深圳市　,坪山新区,马峦街道,22.679763,114.348429,坪山新区马峦街道
江门市,开平市,马冈镇,22.477879,112.504876,开平市马冈镇
惠州市,惠城区,马安镇,23.051859,114.506977,惠城区马安镇
惠州市,龙门县,麻榨镇,23.466437,114.016731,龙门县麻榨镇
东莞市,,麻涌镇,23.057083,113.58838,麻涌镇
惠州市,博罗县,麻陂镇,23.487337,114.535752,博罗县麻陂镇
广州市,从化区,吕田镇,23.818191,113.960022,从化区吕田镇
广州市,番禺区,洛浦街道,23.038797,113.324718,番禺区洛浦街道
肇庆市,广宁县,螺岗镇,23.743451,112.533026,广宁县螺岗镇
广州市,黄埔区,萝岗街,23.180767,113.511968,黄埔区萝岗街
肇庆市,四会市,罗源镇,23.582125,112.781989,四会市罗源镇
惠州市,博罗县,罗阳镇,23.167472,114.292142,博罗县罗阳镇
江门市,新会区,罗坑镇,22.467153,112.92906,新会区罗坑镇
肇庆市,封开县,罗董镇,23.380472,111.633152,封开县罗董镇
佛山市,顺德区,伦教街道,22.87333,113.227753,顺德区伦教街道
澳门,,路氹城,22.145644,113.569552,路氹城
肇庆市,高要区,禄步镇,23.183649,112.300549,高要区禄步镇
惠州市,惠城区,芦洲镇,23.371897,114.530912,惠城区芦洲镇
佛山市,三水区,芦苞镇,23.360488,112.914727,三水区芦苞镇
广州市,南沙区,龙穴街,22.697667,113.654723,南沙区龙穴街
惠州市,博罗县,龙溪镇,23.145786,114.148482,博罗县龙溪镇
惠州市,龙门县,龙田镇,23.737498,114.25687,龙门县龙田镇
深圳市　,坪山新区,龙田街道,22.733056,114.365527,坪山新区龙田街道
惠州市,龙门县,龙潭镇,23.717661,114.12099,龙门县龙潭镇
江门市,开平市,龙胜镇,22.542207,112.465735,开平市龙胜镇
江门市,鹤山市,龙口镇,22.77368,112.918367,鹤山市龙口镇
广州市,荔湾区,龙津街道,23.128679,113.254834,荔湾区龙津街道
佛山市,顺德区,龙江镇,22.873812,113.074397,顺德区龙江镇
惠州市,龙门县,龙江镇,23.612523,114.301636,龙门县龙江镇
惠州市,博罗县,龙华镇,23.194296,114.109236,博罗县龙华镇
惠州市,龙门县,龙华镇,23.61657,114.203743,龙门县龙华镇
深圳市　,龙华新区,龙华街道,22.698884,114.047887,龙华新区龙华街道
深圳市　,龙岗区,龙岗街道,22.726445,114.279297,龙岗区龙岗街道
肇庆市,四会市,龙甫镇,23.377511,112.725205,四会市龙甫镇
广州市,海珠区,龙凤街道,23.100689,113.26213,海珠区龙凤街道
惠州市,惠城区,龙丰街道,23.081371,114.392223,惠城区龙丰街道
广州市,天河区,龙洞街道,23.206839,113.376649,天河区龙洞街道
惠州市,龙门县,龙城街道,23.733891,114.257754,龙门县龙城街道
深圳市　,龙岗区,龙城街道,22.708432,114.229695,龙岗区龙城街道
广州市,越秀区,六榕街道,23.136158,113.266789,越秀区六榕街道
广州市,越秀区,流花街道,23.1543,113.269232,越秀区流花街道
广州市,荔湾区,岭南街道,23.11597,113.254194,荔湾区岭南街道
广州市,天河区,林和街道,23.151739,113.329149,天河区林和街道
广州市,天河区,猎德街道,23.119899,113.344886,天河区猎德街道
东莞市,,寮步镇,23.003838,113.881157,寮步镇
惠州市,惠东县,梁化镇,23.115864,114.682798,惠东县梁化镇
肇庆市,怀集县,梁村镇,23.957321,112.031585,怀集县梁村镇
江门市,恩平市,良西镇,22.319481,112.351178,恩平市良西镇
广州市,从化区,良口镇,23.724903,113.741297,从化区良口镇
惠州市,惠阳区,良井镇,23.012386,114.580785,惠阳区良井镇
广州市,黄埔区,联和街,23.196931,113.447545,黄埔区联和街
珠海市,斗门区,莲洲镇,22.321023,113.214677,斗门区莲洲镇
肇庆市,高要区,莲塘镇,22.955212,112.471374,高要区莲塘镇
深圳市　,罗湖区,莲塘街道,22.57033,114.17545,罗湖区莲塘街道
肇庆市,鼎湖区,莲花镇,23.270032,112.692881,鼎湖区莲花镇
深圳市　,福田区,莲花街道,22.550555,114.051625,福田区莲花街道
肇庆市,封开县,莲都镇,23.604287,111.836239,封开县莲都镇
肇庆市,怀集县,连麦镇,24.053612,112.17302,怀集县连麦镇
广州市,黄埔区,荔联街道,23.119237,113.550466,黄埔区荔联街道
广州市,增城区,荔城街道,23.299134,113.830051,增城区荔城街道
惠州市,惠城区,沥林镇,22.982073,114.244717,惠城区沥林镇
佛山市,南海区,里水镇,23.204815,113.17069,南海区里水镇
江门市,江海区,礼乐街道,22.535154,113.096369,江海区礼乐街道
香港,,离岛区,22.177454,114.268122,离岛区
肇庆市,怀集县,冷坑镇,24.040644,112.054657,怀集县冷坑镇
佛山市,顺德区,勒流街道,22.85581,113.14422,顺德区勒流街道
佛山市,三水区,乐平镇,23.272486,113.028599,三水区乐平镇
佛山市,顺德区,乐从镇,22.964191,113.095696,顺德区乐从镇
肇庆市,高要区,乐城镇,23.359486,112.345984,高要区乐城镇
广州市,南沙区,榄核镇,22.843928,113.349505,南沙区榄核镇
肇庆市,怀集县,蓝钟镇,24.080814,111.966554,怀集县蓝钟镇
惠州市,龙门县,蓝田瑶族乡,23.870872,114.23851,龙门县蓝田瑶族乡
深圳市　,大鹏新区,葵涌街道,22.600542,114.481623,大鹏新区葵涌街道
香港,,葵青区,22.374096,114.147568,葵青区
广州市,越秀区,矿泉街道,23.168947,113.253504,越秀区矿泉街道
深圳市　,坪山新区,坑梓街道,22.749378,114.377272,坪山新区坑梓街道
肇庆市,广宁县,坑口镇,23.790854,112.420955,广宁县坑口镇
肇庆市,鼎湖区,坑口街道,23.157782,112.564793,鼎湖区坑口街道
江门市,恩平市,君堂镇,22.316516,112.442451,恩平市君堂镇
广州市,白云区,均禾街道,23.262275,113.276018,白云区均禾街道
佛山市,顺德区,均安镇,22.720747,113.152092,顺德区均安镇
肇庆市,德庆县,九市镇,23.134856,111.986955,德庆县九市镇
广州市,黄埔区,九龙镇,23.361053,113.524574,黄埔区九龙镇
香港,,九龙城区,22.324015,114.173691,九龙城区
佛山市,南海区,九江镇,22.836815,112.999926,南海区九江镇
肇庆市,四会市,迳口镇,23.508505,112.833974,四会市迳口镇
广州市,白云区,景泰街道,23.174194,113.278674,白云区景泰街道
珠海市,斗门区,井岸镇,22.215427,113.30407,斗门区井岸镇
广州市,白云区,京溪街道,23.187834,113.335236,白云区京溪街道
肇庆市,封开县,金装镇,23.809889,111.876925,封开县金装镇
广州市,白云区,金沙街道,23.165651,113.219995,白云区金沙街道
肇庆市,高要区,金利镇,23.090086,112.789568,高要区金利镇
江门市,开平市,金鸡镇,22.163822,112.49583,开平市金鸡镇
广州市,荔湾区,金花街道,23.133502,113.256192,荔湾区金花街道
肇庆市,高要区,金渡镇,23.042787,112.521559,高要区金渡镇
广州市,从化区,街口街道,23.550393,113.598027,从化区街口街道
肇庆市,高要区,蛟塘镇,22.898737,112.614052,高要区蛟塘镇
肇庆市,广宁县,江屯镇,23.72816,112.639374,广宁县江屯镇
广州市,从化区,江埔街道,23.546433,113.60552,从化区江埔街道
广州市,海珠区,江南中街道,23.098676,113.277705,海珠区江南中街道
惠州市,惠城区,江南街道,23.110377,114.39653,惠城区江南街道
江门市,江海区,江南街道,22.584628,113.104551,江海区江南街道
肇庆市,封开县,江口镇,23.435261,111.517861,封开县江口镇
广州市,海珠区,江海街道,23.096182,113.323464,海珠区江海街道
肇庆市,四会市,江谷镇,23.508496,112.66692,四会市江谷镇
广州市,白云区,江高镇,23.296217,113.24125,白云区江高镇
肇庆市,封开县,江川镇,23.413627,111.495351,封开县江川镇
惠州市,惠城区,江北街道,23.116117,114.421047,惠城区江北街道
广州市,越秀区,建设街道,23.140577,113.290483,越秀区建设街道
澳门,,嘉模堂区,22.156497,113.570576,嘉模堂区
广州市,白云区,嘉禾街道,23.256595,113.294632,白云区嘉禾街道
惠州市,惠东县,吉隆镇,22.806287,114.930162,惠东县吉隆镇
深圳市　,龙岗区,吉华街道,22.657484,114.118899,龙岗区吉华街道
